PMID,Title,Publication Date,Abstract,FullTextLink,Cleaned_Title,Cleaned_Abstract,Processed_Text,Assigned_Category
39461686,Intra-procedural and Post-procedural Adverse Events Associated with a Single Chamber Atrial Leadless Pacemaker.,"Oct, 2024","Atrial leadless pacemaker (LP) is a novel device capable of atrial pacing and communicating with the ventricular LP to facilitate atrioventricular synchrony 1. To better understand real-world safety data with atrial LP, we performed cross-sectional analysis of MAUDE (Manufacturer and User Facility Device Experience)-FDA mandated post-marketing safety surveillance database, which provides an unrestricted, deidentified medical device reports for the last 10 years. We searched MAUDE database on June 1, 2024, to capture all",No Full Text Available,intraprocedural and postprocedural adverse events associated with a single chamber atrial leadless pacemaker,atrial leadless pacemaker lp is a novel device capable of atrial pacing and communicating with the ventricular lp to facilitate atrioventricular synchrony  to better understand realworld safety data with atrial lp we performed crosssectional analysis of maude manufacturer and user facility device experiencefda mandated postmarketing safety surveillance database which provides an unrestricted deidentified medical device reports for the last  years we searched maude database on june   to capture all,intraprocedural postprocedural adverse event associated single chamber atrial leadless pacemaker atrial leadless pacemaker lp novel device capable atrial pacing communicating ventricular lp facilitate atrioventricular synchrony better understand realworld safety data atrial lp performed crosssectional analysis maude manufacturer user facility device experiencefda mandated postmarketing safety surveillance database provides unrestricted deidentified medical device report last year searched maude database june capture,Uncertain
39453298,Pulmonary Artery Injury Following Endocardial Left Atrial Appendage Occlusion: The Known and Unknown.,"Oct, 2024","BACKGROUND: Left atrial appendage closure (LAAC) is frequent alternative for stroke prophylaxis in patients for whom oral anticoagulation is contraindicated. Pulmonary artery injury (PAI) is a feared yet rare complication of endocardial LAAC, but its surrounding literature is scarce. OBJECTIVES: The aim of the current study was to review prior PAI published reports and the U.S. Food and Drug Administration Manufacturer and User Facility Device Experience (MAUDE) database to understand evidence and mechanisms of PAI after LAAC. METHODS: A systematic review was conducted of the literature and MAUDE database for previously reported cases of PAI, and cases were reviewed for patient characteristics and outcomes. In addition, we identify risks and review our strategies to avoid this injury. RESULTS: Thirty-six cases (16 case reports and 20 MAUDE reports) of PAI were found. These patients had a mean age of 73.6 ± 8.2 years with a median CHA CONCLUSIONS: Presentation of PAI after LAAC can occur immediately following the procedure or be delayed. Thus, the threshold for suspicion, especially with rapid and hemodynamically significant pericardial effusion, after LAAC should be low.",No Full Text Available,pulmonary artery injury following endocardial left atrial appendage occlusion the known and unknown,background left atrial appendage closure laac is frequent alternative for stroke prophylaxis in patients for whom oral anticoagulation is contraindicated pulmonary artery injury pai is a feared yet rare complication of endocardial laac but its surrounding literature is scarce objectives the aim of the current study was to review prior pai published reports and the us food and drug administration manufacturer and user facility device experience maude database to understand evidence and mechanisms of pai after laac methods a systematic review was conducted of the literature and maude database for previously reported cases of pai and cases were reviewed for patient characteristics and outcomes in addition we identify risks and review our strategies to avoid this injury results thirtysix cases  case reports and  maude reports of pai were found these patients had a mean age of    years with a median cha conclusions presentation of pai after laac can occur immediately following the procedure or be delayed thus the threshold for suspicion especially with rapid and hemodynamically significant pericardial effusion after laac should be low,pulmonary artery injury following endocardial left atrial appendage occlusion known unknown background left atrial appendage closure laac frequent alternative stroke prophylaxis patient oral anticoagulation contraindicated pulmonary artery injury pai feared yet rare complication endocardial laac surrounding literature scarce objective aim current study review prior pai published report u food drug administration manufacturer user facility device experience maude database understand evidence mechanism pai laac method systematic review conducted literature maude database previously reported case pai case reviewed patient characteristic outcome addition identify risk review strategy avoid injury result thirtysix case case report maude report pai found patient mean age year median cha conclusion presentation pai laac occur immediately following procedure delayed thus threshold suspicion especially rapid hemodynamically significant pericardial effusion laac low,Stent Fracture Adverse Events
39446644,Real-World Safety of Prostate Cancer Focal Therapy: MAUDE Database Analysis.,"Oct, 2024","Objective: The aim of this study was to assess the real-world safety profile of medical devices used in focal prostate cancer treatment utilizing the Manufacturer and User Facility Device Experience (MAUDE) database. Methods: The MAUDE database was searched for reports on high-intensity focused ultrasound (HIFU), cryoablation, laser ablation, and irreversible electroporation (IRE) devices used in prostate cancer treatment from 1993 to 2023. Adverse events were identified and categorized. Results: We identified 175 reports for",No Full Text Available,realworld safety of prostate cancer focal therapy maude database analysis,objective the aim of this study was to assess the realworld safety profile of medical devices used in focal prostate cancer treatment utilizing the manufacturer and user facility device experience maude database methods the maude database was searched for reports on highintensity focused ultrasound hifu cryoablation laser ablation and irreversible electroporation ire devices used in prostate cancer treatment from  to  adverse events were identified and categorized results we identified  reports for,realworld safety prostate cancer focal therapy maude database analysis objective aim study ass realworld safety profile medical device used focal prostate cancer treatment utilizing manufacturer user facility device experience maude database method maude database searched report highintensity focused ultrasound hifu cryoablation laser ablation irreversible electroporation ire device used prostate cancer treatment adverse event identified categorized result identified report,Medical Device Safety Incidents
39443407,Early insights on adverse events associated with PulseSelect™ and FARAPULSE™: analysis of the MAUDE database.,"Oct, 2024","Design-related events constituted 249 out of 319 reports, with most issues resolved by equipment replacement. The most common event, with 142 (44%) reports, was air bubbles/leaks within the sheath, necessitating sheath replacement in all but four cases. The reports did not specify whether continuous aspiration was conducted during catheter insertion. Other common issues included detachment/breakage (40, 12%), guidewire entrapment (25, 8%), catheter deployment issues (20, 6%), contamination (13, 4%), and",No Full Text Available,early insights on adverse events associated with pulseselect and farapulse analysis of the maude database,designrelated events constituted  out of  reports with most issues resolved by equipment replacement the most common event with   reports was air bubblesleaks within the sheath necessitating sheath replacement in all but four cases the reports did not specify whether continuous aspiration was conducted during catheter insertion other common issues included detachmentbreakage   guidewire entrapment   catheter deployment issues   contamination   and,early insight adverse event associated pulseselect farapulse analysis maude database designrelated event constituted report issue resolved equipment replacement common event report air bubblesleaks within sheath necessitating sheath replacement four case report specify whether continuous aspiration conducted catheter insertion common issue included detachmentbreakage guidewire entrapment catheter deployment issue contamination,Uncertain
39397352,A comparison of procedure-related adverse events between two right ventricular leadless pacemakers.,"Oct, 2024","INTRODUCTION: The Medtronic Micra VR and Abbott AVEIR VR are the leadless pacemakers (LPM) currently available in the United States (US). Micra VR employs fixation tines and the AVEIR VR uses an active fixation helix. Micra VR requires fixation before electrical measurements are obtained, while R-waves may be mapped by AVEIR VR without fixation. Little comparative data is available for these LPMs. Accordingly, we compared the incidences of procedure-related major adverse clinical events (MACE) and device problems in the US for Micra VR and AVEIR VR during 2022-2024. METHODS: We searched the FDA's Manufacturer and User Facility Device Experience (MAUDE) database for US reports of MACE and device problems that were filed from April 2022 to December 2023 for AVEIR VR, and from June 2022 to April 2024 for Micra VR. Totals for US-registered LPM implants were obtained from the manufacturers' product performance reports. RESULTS: During the study period, 5990 AVEIR VR and 10 940 Micra VR implants were registered in the US. We found 305 MAUDE reports for AVEIR VR (5.1%), versus 541 MAUDE reports for Micra VR (4.9%) (p = .702). The incidence of MACE was 0.72% (43/5990) for AVEIR VR versus 0.59% (65/10 940) for Micra VR, (p = .387). The incidences of procedure-related death, cardiac perforation. cardiac arrest, emergency pericardial drainage or reparative surgery were similar for both LPMs (p > .05). Micra VR had more unacceptable thresholds requiring LPM replacement compared to AVEIR VR (95;0.9% vs. 24;0.4%; p = .001). AVEIR VR had a statistically higher incidence of device dislodgement during (32) and after (21) implant compared to Micra VR (53 (0.9%) vs. 46 (0.4%), p < .001). CONCLUSIONS: Micra VR and AVEIR VR have similar procedural safety profiles, including the incidences of death and perforation. However, device problems differed significantly, possibly related to their design differences. Compared to Micra VR, AVEIR VR appears to have an advantageous threshold measurement capability but is more prone to device dislodgement.",No Full Text Available,a comparison of procedurerelated adverse events between two right ventricular leadless pacemakers,introduction the medtronic micra vr and abbott aveir vr are the leadless pacemakers lpm currently available in the united states us micra vr employs fixation tines and the aveir vr uses an active fixation helix micra vr requires fixation before electrical measurements are obtained while rwaves may be mapped by aveir vr without fixation little comparative data is available for these lpms accordingly we compared the incidences of procedurerelated major adverse clinical events mace and device problems in the us for micra vr and aveir vr during  methods we searched the fdas manufacturer and user facility device experience maude database for us reports of mace and device problems that were filed from april  to december  for aveir vr and from june  to april  for micra vr totals for usregistered lpm implants were obtained from the manufacturers product performance reports results during the study period  aveir vr and   micra vr implants were registered in the us we found  maude reports for aveir vr  versus  maude reports for micra vr  p   the incidence of mace was   for aveir vr versus    for micra vr p   the incidences of procedurerelated death cardiac perforation cardiac arrest emergency pericardial drainage or reparative surgery were similar for both lpms p   micra vr had more unacceptable thresholds requiring lpm replacement compared to aveir vr  vs  p   aveir vr had a statistically higher incidence of device dislodgement during  and after  implant compared to micra vr   vs   p   conclusions micra vr and aveir vr have similar procedural safety profiles including the incidences of death and perforation however device problems differed significantly possibly related to their design differences compared to micra vr aveir vr appears to have an advantageous threshold measurement capability but is more prone to device dislodgement,comparison procedurerelated adverse event two right ventricular leadless pacemaker introduction medtronic micra vr abbott aveir vr leadless pacemaker lpm currently available united state u micra vr employ fixation tine aveir vr us active fixation helix micra vr requires fixation electrical measurement obtained rwaves may mapped aveir vr without fixation little comparative data available lpms accordingly compared incidence procedurerelated major adverse clinical event mace device problem u micra vr aveir vr method searched fda manufacturer user facility device experience maude database u report mace device problem filed april december aveir vr june april micra vr total usregistered lpm implant obtained manufacturer product performance report result study period aveir vr micra vr implant registered u found maude report aveir vr versus maude report micra vr p incidence mace aveir vr versus micra vr p incidence procedurerelated death cardiac perforation cardiac arrest emergency pericardial drainage reparative surgery similar lpms p micra vr unacceptable threshold requiring lpm replacement compared aveir vr v p aveir vr statistically higher incidence device dislodgement implant compared micra vr v p conclusion micra vr aveir vr similar procedural safety profile including incidence death perforation however device problem differed significantly possibly related design difference compared micra vr aveir vr appears advantageous threshold measurement capability prone device dislodgement,Uncertain
39368716,Adverse Events of the Over The Scope Endoscopic Clips and Cutters: A MAUDE Database Analysis.,"Oct, 2024","BACKGROUND AND AIMS: The OVESCO® clip system, including the Over-The-Scope Clip (OTSC) and Full-Thickness Resection Device (FTRD), has demonstrated efficacy in managing various gastrointestinal pathologies. However, real-world data on device malfunctions and patient complications are limited. This study aimed to analyze adverse events associated with OVESCO® clips and cutters reported to the FDA Manufacturer and User Facility Device Experience (MAUDE) database. METHODS: The MAUDE database was searched for reports related to OVESCO® clips and cutters from January 1, 2007, to August 30, 2024. Event date, device type and model, manufacturer, event type, device problem, and patient complications were extracted. Descriptive statistics were used to summarize the findings. RESULTS: Forty-two reports were identified, with 41 involving OVESCO® clips and one involving an OVESCO® cutter. The most common device problem for OVESCO® clips was failure to deploy (61.0%), followed by unintended deployment or misfiring (17.1%). Gastrointestinal perforation was the most frequently reported patient complication (60%). The OVESCO® cutter report described device component breakage and foreign body retention. No clear trends in adverse event reporting were observed over the study period. CONCLUSION: OVESCO® clips and cutters are associated with potential device malfunctions and patient complications, particularly gastrointestinal perforation. The findings highlight the need for careful patient selection, meticulous technique, and close post-procedural monitoring. Collaborative efforts among stakeholders are essential to optimize device safety and efficacy. Continued post-marketing surveillance and real-world data analysis are crucial for monitoring the performance of endoscopic devices and improving patient outcomes.",No Full Text Available,adverse events of the over the scope endoscopic clips and cutters a maude database analysis,background and aims the ovesco clip system including the overthescope clip otsc and fullthickness resection device ftrd has demonstrated efficacy in managing various gastrointestinal pathologies however realworld data on device malfunctions and patient complications are limited this study aimed to analyze adverse events associated with ovesco clips and cutters reported to the fda manufacturer and user facility device experience maude database methods the maude database was searched for reports related to ovesco clips and cutters from january   to august   event date device type and model manufacturer event type device problem and patient complications were extracted descriptive statistics were used to summarize the findings results fortytwo reports were identified with  involving ovesco clips and one involving an ovesco cutter the most common device problem for ovesco clips was failure to deploy  followed by unintended deployment or misfiring  gastrointestinal perforation was the most frequently reported patient complication  the ovesco cutter report described device component breakage and foreign body retention no clear trends in adverse event reporting were observed over the study period conclusion ovesco clips and cutters are associated with potential device malfunctions and patient complications particularly gastrointestinal perforation the findings highlight the need for careful patient selection meticulous technique and close postprocedural monitoring collaborative efforts among stakeholders are essential to optimize device safety and efficacy continued postmarketing surveillance and realworld data analysis are crucial for monitoring the performance of endoscopic devices and improving patient outcomes,adverse event scope endoscopic clip cutter maude database analysis background aim ovesco clip system including overthescope clip otsc fullthickness resection device ftrd demonstrated efficacy managing various gastrointestinal pathology however realworld data device malfunction patient complication limited study aimed analyze adverse event associated ovesco clip cutter reported fda manufacturer user facility device experience maude database method maude database searched report related ovesco clip cutter january august event date device type model manufacturer event type device problem patient complication extracted descriptive statistic used summarize finding result fortytwo report identified involving ovesco clip one involving ovesco cutter common device problem ovesco clip failure deploy followed unintended deployment misfiring gastrointestinal perforation frequently reported patient complication ovesco cutter report described device component breakage foreign body retention clear trend adverse event reporting observed study period conclusion ovesco clip cutter associated potential device malfunction patient complication particularly gastrointestinal perforation finding highlight need careful patient selection meticulous technique close postprocedural monitoring collaborative effort among stakeholder essential optimize device safety efficacy continued postmarketing surveillance realworld data analysis crucial monitoring performance endoscopic device improving patient outcome,Uncertain
39353499,Underreporting of complications following AF ablation: Comparison of the manufacturer and user facility device experience FDA database and a voluntary invitation-based registry: The POTTER-AF 3 study.,"Oct, 2024","BACKGROUND: The Manufacturer and User Facility Device Experience (MAUDE) database houses medical device reports of adverse events involving medical devices marketed in the United States submitted to the U.S. Food and Drug Administration (FDA) by mandatory and voluntary reporters. The MAUDE database is frequently used in clinical studies to report on device-related complications. Data about its efficacy are scarce. OBJECTIVE: We aimed to compare the mandatory MAUDE database (MAUDE group) with the invitation-based POTTER-AF study (POTTER-AF 1 group) regarding data quality, procedural characteristics, diagnosis, treatment, and survival. METHODS: The reports of esophageal fistula esophageal fistula following atrial fibrillation (AF) ablation in the MAUDE database were compared with those in the POTTER-AF study between August 1, 2009, and August 31, 2019. RESULTS: Esophageal fistulas were reported in 47 patients in the MAUDE group and in 81 in the POTTER-AF 1 group. Procedures were performed with radiofrequency, cryoenergy, or laser energy in 66.0%, 31.9%, and 2.1% (MAUDE group) and in 96.3%, 2.5%, and 1.2% (POTTER-AF 1 group). The median time to symptoms was 21 (14, 32.5) days (MAUDE group) and 18.0 (6.8, 22.3) days (POTTER-AF 1 group; P = .031). The diagnostic method was reported in 38.3% of patients in the MAUDE group and in 98.8% in the POTTER-AF 1 group, the treatment in 57.4% and 100%, and the outcome in all patients. In the MAUDE group, treatment was surgical (51.9%), endoscopic (37.0%), combined (3.7%), or conservative (7.4%), compared with 43.2%, 19.8%, 7.4%, and 29.6% in the POTTER-AF 1 group. Overall mortality was 76.6% in the MAUDE group and 61.7% in the POTTER-AF 1 group (P = .118). CONCLUSION: In the mandatory MAUDE database, fewer esophageal fistula cases were reported compared with an invitation-based study. The data quality in the MAUDE database was significantly poorer.",No Full Text Available,underreporting of complications following af ablation comparison of the manufacturer and user facility device experience fda database and a voluntary invitationbased registry the potteraf  study,background the manufacturer and user facility device experience maude database houses medical device reports of adverse events involving medical devices marketed in the united states submitted to the us food and drug administration fda by mandatory and voluntary reporters the maude database is frequently used in clinical studies to report on devicerelated complications data about its efficacy are scarce objective we aimed to compare the mandatory maude database maude group with the invitationbased potteraf study potteraf  group regarding data quality procedural characteristics diagnosis treatment and survival methods the reports of esophageal fistula esophageal fistula following atrial fibrillation af ablation in the maude database were compared with those in the potteraf study between august   and august   results esophageal fistulas were reported in  patients in the maude group and in  in the potteraf  group procedures were performed with radiofrequency cryoenergy or laser energy in   and  maude group and in   and  potteraf  group the median time to symptoms was    days maude group and    days potteraf  group p   the diagnostic method was reported in  of patients in the maude group and in  in the potteraf  group the treatment in  and  and the outcome in all patients in the maude group treatment was surgical  endoscopic  combined  or conservative  compared with    and  in the potteraf  group overall mortality was  in the maude group and  in the potteraf  group p   conclusion in the mandatory maude database fewer esophageal fistula cases were reported compared with an invitationbased study the data quality in the maude database was significantly poorer,underreporting complication following af ablation comparison manufacturer user facility device experience fda database voluntary invitationbased registry potteraf study background manufacturer user facility device experience maude database house medical device report adverse event involving medical device marketed united state submitted u food drug administration fda mandatory voluntary reporter maude database frequently used clinical study report devicerelated complication data efficacy scarce objective aimed compare mandatory maude database maude group invitationbased potteraf study potteraf group regarding data quality procedural characteristic diagnosis treatment survival method report esophageal fistula esophageal fistula following atrial fibrillation af ablation maude database compared potteraf study august august result esophageal fistula reported patient maude group potteraf group procedure performed radiofrequency cryoenergy laser energy maude group potteraf group median time symptom day maude group day potteraf group p diagnostic method reported patient maude group potteraf group treatment outcome patient maude group treatment surgical endoscopic combined conservative compared potteraf group overall mortality maude group potteraf group p conclusion mandatory maude database fewer esophageal fistula case reported compared invitationbased study data quality maude database significantly poorer,Uncertain
39356032,Adverse events related to laser fibers and laser machines during ureteroscopy and stone lithotripsy: Insights from an updated 10-year analysis of the US MAUDE database.,"Oct, 2024","INTRODUCTION: Ureteroscopy has become increasingly chosen as a treatment of choice for patients with kidney stone disease and laser as the energy source for stone lithotripsy is a key part of this. Our aim was to analyse a national database to evaluate the burden of adverse events related to laser fibers and laser machines. METHODS: Search was performed of the Manufacturer User and Facility Device Experience (MAUDE) database in the United States for all events related to holmium laser fibers and holmium laser machines during ureteroscopy between 2012-2021. Information collected included the following: problem, timing, prolonged anaesthesia, early termination of procedure, injury and retained parts. RESULTS: 699 holmium laser fiber events were reported and these had been manufactured by 13 different companies. The commonest problems were breakage outside the patient while in use (26.3%) and breakage of the laser fiber tip (21.2%). Manufacturers concluded root cause to be device failure in 8.9%. 29% of issues occurred before the laser had been activated. 5.2% of cases had to be cancelled as a result of an event. Significantly more injuries were sustained intra-operatively by operating staff compared to patients (6% vs. 0.2%, p < 0.001). All these injuries were superficial burns to the skin with the hand being the most affected body part (88.1%). Zero ocular injuries were reported. Only eight events were related to laser machines and all involved sudden hardware failure but no patient injury. CONCLUSIONS: Laser fibers are fragile. Most adverse events are due to operator error. Direct patient injury from laser fiber is scarce but operating staff should be aware of the risk of sustaining minor burns. Laser machines rarely incur problems and, in this study, did not result in any safety issues beyond need to abort the procedure due to lack of spare equipment.",No Full Text Available,adverse events related to laser fibers and laser machines during ureteroscopy and stone lithotripsy insights from an updated year analysis of the us maude database,introduction ureteroscopy has become increasingly chosen as a treatment of choice for patients with kidney stone disease and laser as the energy source for stone lithotripsy is a key part of this our aim was to analyse a national database to evaluate the burden of adverse events related to laser fibers and laser machines methods search was performed of the manufacturer user and facility device experience maude database in the united states for all events related to holmium laser fibers and holmium laser machines during ureteroscopy between  information collected included the following problem timing prolonged anaesthesia early termination of procedure injury and retained parts results  holmium laser fiber events were reported and these had been manufactured by  different companies the commonest problems were breakage outside the patient while in use  and breakage of the laser fiber tip  manufacturers concluded root cause to be device failure in   of issues occurred before the laser had been activated  of cases had to be cancelled as a result of an event significantly more injuries were sustained intraoperatively by operating staff compared to patients  vs  p   all these injuries were superficial burns to the skin with the hand being the most affected body part  zero ocular injuries were reported only eight events were related to laser machines and all involved sudden hardware failure but no patient injury conclusions laser fibers are fragile most adverse events are due to operator error direct patient injury from laser fiber is scarce but operating staff should be aware of the risk of sustaining minor burns laser machines rarely incur problems and in this study did not result in any safety issues beyond need to abort the procedure due to lack of spare equipment,adverse event related laser fiber laser machine ureteroscopy stone lithotripsy insight updated year analysis u maude database introduction ureteroscopy become increasingly chosen treatment choice patient kidney stone disease laser energy source stone lithotripsy key part aim analyse national database evaluate burden adverse event related laser fiber laser machine method search performed manufacturer user facility device experience maude database united state event related holmium laser fiber holmium laser machine ureteroscopy information collected included following problem timing prolonged anaesthesia early termination procedure injury retained part result holmium laser fiber event reported manufactured different company commonest problem breakage outside patient use breakage laser fiber tip manufacturer concluded root cause device failure issue occurred laser activated case cancelled result event significantly injury sustained intraoperatively operating staff compared patient v p injury superficial burn skin hand affected body part zero ocular injury reported eight event related laser machine involved sudden hardware failure patient injury conclusion laser fiber fragile adverse event due operator error direct patient injury laser fiber scarce operating staff aware risk sustaining minor burn laser machine rarely incur problem study result safety issue beyond need abort procedure due lack spare equipment,Uncertain
39346784,A MAUDE database analysis on the new generation of active bone conduction hearing implants.,"Sep, 2024","OBJECTIVE: To analyze medical device reports (MDR) submitted to the Food and Drug Administration's (FDA) Manufacturer and User Device Facility Experience (MAUDE) database to identify adverse events (AEs) in patients implanted with novel active bone conduction hearing implants (BCIs). METHODS: We conducted a search of the FDA MAUDE database on the newest generation of BCIs. Data were collected concerning device malfunctions, patient injuries, factors triggering these incidents, and the subsequent actions taken. RESULTS: In total, 93 (16.7%) device malfunctions and 465 (83.3%) patient injuries with 358 subsequent interventions were identified, resulting in 558 AEs. Although the absolute AE number per device cannot be identified, the following trends were detected: Among the 494 AEs associated with OSI200, 55 (11.1%) reported device malfunctions and 454 (88.9%) cited patient injuries. Out of the 64 AEs linked to BCI602, 28 (59.4%) were associated with malfunctions, whereas 26 (40.6%) involved patient injuries. The most frequently reported particular AEs for the OSI200 were infection ( CONCLUSION: The current study provides an overview of the most commonly reported complications with new active BCIs. Although providing an overview, given the limitations of the FDA MAUDE database, our results have to be interpreted with caution. LEVEL OF EVIDENCE: 4.",No Full Text Available,a maude database analysis on the new generation of active bone conduction hearing implants,objective to analyze medical device reports mdr submitted to the food and drug administrations fda manufacturer and user device facility experience maude database to identify adverse events aes in patients implanted with novel active bone conduction hearing implants bcis methods we conducted a search of the fda maude database on the newest generation of bcis data were collected concerning device malfunctions patient injuries factors triggering these incidents and the subsequent actions taken results in total   device malfunctions and   patient injuries with  subsequent interventions were identified resulting in  aes although the absolute ae number per device cannot be identified the following trends were detected among the  aes associated with osi   reported device malfunctions and   cited patient injuries out of the  aes linked to bci   were associated with malfunctions whereas   involved patient injuries the most frequently reported particular aes for the osi were infection  conclusion the current study provides an overview of the most commonly reported complications with new active bcis although providing an overview given the limitations of the fda maude database our results have to be interpreted with caution level of evidence ,maude database analysis new generation active bone conduction hearing implant objective analyze medical device report mdr submitted food drug administration fda manufacturer user device facility experience maude database identify adverse event aes patient implanted novel active bone conduction hearing implant bcis method conducted search fda maude database newest generation bcis data collected concerning device malfunction patient injury factor triggering incident subsequent action taken result total device malfunction patient injury subsequent intervention identified resulting aes although absolute ae number per device identified following trend detected among aes associated osi reported device malfunction cited patient injury aes linked bci associated malfunction whereas involved patient injury frequently reported particular aes osi infection conclusion current study provides overview commonly reported complication new active bcis although providing overview given limitation fda maude database result interpreted caution level evidence,Uncertain
39326927,Analysis of 1027 Adverse Events Reports for Interspinous Process Devices From the US Food and Drug Administration Manufacturer and User Facility Device Experience Database.,"Sep, 2024","BACKGROUND: Interspinous process devices (IPDs) introduce a new class of complications to surgical decompression without fusion: hardware-related complications. The purpose of this study was to describe the adverse events associated with IPDs. STUDY DESIGN: This was a retrospective review of the Food and Drug Administration Manufacturer and User Facility Device Experience database. METHODS: The database was queried from its inception to November 2022 for reports associated with ""Prosthesis, Spinous Process Spacer/Plate."" Entries were categorized by event type, patient impact, and interventions. RESULTS: A total of 943 surgery-related adverse events were identified. The most common intraoperative events were implant malfunctions (39.7%,  CONCLUSIONS: The most common adverse events were implant malfunction, inadequate efficacy, implant migration, and fracture. Concerningly, these complications require revision surgery in one-third of cases when they occur. Implant-specific assessments demonstrate a high prevalence of implant malfunctions for the Coflex and Superion implants. CLINICAL RELEVANCE: Interspinous process devices introduce a new class of complications to isolated spinal decompression surgery: implant-related complications. These complications occur both intraoperatively and postoperatively, and they frequently necessitate revision surgery.",No Full Text Available,analysis of  adverse events reports for interspinous process devices from the us food and drug administration manufacturer and user facility device experience database,background interspinous process devices ipds introduce a new class of complications to surgical decompression without fusion hardwarerelated complications the purpose of this study was to describe the adverse events associated with ipds study design this was a retrospective review of the food and drug administration manufacturer and user facility device experience database methods the database was queried from its inception to november  for reports associated with prosthesis spinous process spacerplate entries were categorized by event type patient impact and interventions results a total of  surgeryrelated adverse events were identified the most common intraoperative events were implant malfunctions   conclusions the most common adverse events were implant malfunction inadequate efficacy implant migration and fracture concerningly these complications require revision surgery in onethird of cases when they occur implantspecific assessments demonstrate a high prevalence of implant malfunctions for the coflex and superion implants clinical relevance interspinous process devices introduce a new class of complications to isolated spinal decompression surgery implantrelated complications these complications occur both intraoperatively and postoperatively and they frequently necessitate revision surgery,analysis adverse event report interspinous process device u food drug administration manufacturer user facility device experience database background interspinous process device ipds introduce new class complication surgical decompression without fusion hardwarerelated complication purpose study describe adverse event associated ipds study design retrospective review food drug administration manufacturer user facility device experience database method database queried inception november report associated prosthesis spinous process spacerplate entry categorized event type patient impact intervention result total surgeryrelated adverse event identified common intraoperative event implant malfunction conclusion common adverse event implant malfunction inadequate efficacy implant migration fracture concerningly complication require revision surgery onethird case occur implantspecific assessment demonstrate high prevalence implant malfunction coflex superion implant clinical relevance interspinous process device introduce new class complication isolated spinal decompression surgery implantrelated complication complication occur intraoperatively postoperatively frequently necessitate revision surgery,Uncertain
